15	15
2	2
13	13
15	15
4	4
1	2
1	1
6	6
3	3
8	8
18	18
3	3
9	9
1	2
2	2
5	5
10	11
14	15
3	3
5	5
14	15
2	2
13	13
10	10
4	4
6	6
9	10
1	2
10	10
8	8
16	16
3	3
16	16
24	24
1	2
1	2
4	4
5	5
5	5
7	7
10	10
4	4
6	6
1	3
1	1
15	15
9	9
23	25
1	2
9	9
9	9
16	16
4	6
1	1
6	6
4	4
8	8
4	4
17	17
3	3
3	3
10	10
2	2
12	14
8	8
10	10
8	8
11	11
5	5
14	15
5	5
23	24
3	3
16	16
9	9
9	9
13	13
20	21
5	5
7	8
10	10
2	2
8	8
7	7
16	16
7	7
7	7
14	14
8	8
4	4
7	7
13	13
3	3
14	15
15	15
3	3
12	14
8	8
9	9
1	2
5	5
4	4
6	6
12	12
2	2
16	17
5	5
5	6
11	11
5	5
5	5
12	12
4	4
5	5
15	15
2	2
2	2
1	1
5	5
8	8
11	12
18	20
6	6
7	7
13	14
17	18
8	8
1	1
12	12
8	8
6	6
4	4
14	14
7	7
4	4
13	13
11	11
6	6
2	2
7	8
2	2
3	3
9	9
8	8
9	9
17	17
5	5
6	6
9	10
17	17
25	25
7	7
6	8
5	5
10	10
4	4
7	7
3	4
18	18
16	17
9	9
6	6
6	6
16	16
1	2
1	1
5	5
15	16
11	11
13	13
3	3
10	10
7	7
17	17
3	3
5	5
5	5
8	8
3	3
1	1
11	13
16	17
5	6
14	14
3	3
11	11
15	15
6	6
1	1
3	4
14	14
16	16
9	9
15	15
1	1
7	7
20	20
5	5
9	9
3	3
